label,text,tokens,clean_text
0,kyou are the only girl waiting in reception ah,"['kyou', 'girl', 'waiting', 'reception', 'ah']",kyou girl waiting reception ah
0,sweet we may or may not go to u to meet carlos so gauge pattys interest in that,"['sweet', 'may', 'may', 'go', 'u', 'meet', 'carlos', 'gauge', 'patty', 'interest']",sweet may may go u meet carlos gauge patty interest
0,eatin my lunch,"['eatin', 'lunch']",eatin lunch
0,ok i also wan watch e pm show,"['ok', 'also', 'wan', 'watch', 'e', 'pm', 'show']",ok also wan watch e pm show
1,collect your valentines weekend to paris inc flight hotel £ prize guaranteed text paris to no wwwrtfsphostingcom,"['collect', 'valentine', 'weekend', 'paris', 'inc', 'flight', 'hotel', '£', 'prize', 'guaranteed', 'text', 'paris', 'wwwrtfsphostingcom']",collect valentine weekend paris inc flight hotel £ prize guaranteed text paris wwwrtfsphostingcom
0,hi neva worry bout da truth coz the truth will lead me ur heart its the least a unique person like u deserve sleep tight or morning,"['hi', 'neva', 'worry', 'bout', 'da', 'truth', 'coz', 'truth', 'lead', 'ur', 'heart', 'it\x92s', 'least', 'unique', 'person', 'like', 'u', 'deserve', 'sleep', 'tight', 'morning']",hi neva worry bout da truth coz truth lead ur heart its least unique person like u deserve sleep tight morning
0,sorry i missed you babe i was up late and slept in i hope you enjoy your driving lesson boytoy i miss you too teasing kiss,"['sorry', 'missed', 'babe', 'late', 'slept', 'hope', 'enjoy', 'driving', 'lesson', 'boytoy', 'miss', 'teasing', 'kiss']",sorry missed babe late slept hope enjoy driving lesson boytoy miss teasing kiss
0,k dahow many page you want,"['k', 'dahow', 'many', 'page', 'want']",k dahow many page want
0,hasnt that been the pattern recently crap weekends,"['hasnt', 'pattern', 'recently', 'crap', 'weekend']",hasnt pattern recently crap weekend
1,we know someone who you know that fancies you call to find out who pobox lshb p,"['know', 'someone', 'know', 'fancy', 'call', 'find', 'pobox', 'lshb', 'p']",know someone know fancy call find pobox lshb p
0,what can i do might accidant tookplace between somewhere ghodbandar rd traffic moves slovely so plz slip amp dont worry,"['might', 'accidant', 'tookplace', 'somewhere', 'ghodbandar', 'rd', 'traffic', 'move', 'slovely', 'plz', 'slip', 'amp', 'dont', 'worry']",might accidant tookplace somewhere ghodbandar rd traffic move slovely plz slip amp dont worry
0,as if i wasnt having enough trouble sleeping,"['wasnt', 'enough', 'trouble', 'sleeping']",wasnt enough trouble sleeping
0,how about clothes jewelry and trips,"['clothes', 'jewelry', 'trip']",clothes jewelry trip
0,wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,"['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened']",wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
0,this message is from a great doctor in india do not drink appy fizz it contains cancer causing age,"['message', 'great', 'doctor', 'india', 'drink', 'appy', 'fizz', 'contains', 'cancer', 'causing', 'age']",message great doctor india drink appy fizz contains cancer causing age
0,wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,"['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'say', 'boston']",wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
0,i am in tirupur call you da,"['tirupur', 'call', 'da']",tirupur call da
