label,text,tokens,clean_text
0,its good well find a way,"['good', 'well', 'find', 'way']",good well find way
0,ard lor,"['ard', 'lor']",ard lor
0,mm yes dear look how i am hugging you both p,"['mm', 'yes', 'dear', 'look', 'hugging', 'p']",mm yes dear look hugging p
0,no probs hon how u doinat the mo,"['probs', 'hon', 'u', 'doinat', 'mo']",probs hon u doinat mo
0,did you try making another butt,"['try', 'making', 'another', 'butt']",try making another butt
0,i guess it is useless calling u something important,"['guess', 'useless', 'calling', 'u', 'something', 'important']",guess useless calling u something important
0,gal n boy walking in d park galcan i hold ur hand boyy do u think i would run away galno jst wana c how it feels walking in heaven with an princegn,"['gal', 'n', 'boy', 'walking', 'park', 'galcan', 'hold', 'ur', 'hand', 'boyy', 'u', 'think', 'would', 'run', 'away', 'galno', 'jst', 'wana', 'c', 'feel', 'walking', 'heaven', 'princegn']",gal n boy walking park galcan hold ur hand boyy u think would run away galno jst wana c feel walking heaven princegn
0,oooh bed ridden ey what are you thinking of,"['oooh', 'bed', 'ridden', 'ey', 'thinking']",oooh bed ridden ey thinking
0,hello damn this christmas thing i think i have decided to keep this mp that doesnt work,"['hello', 'damn', 'christmas', 'thing', 'think', 'decided', 'keep', 'mp', 'doesnt', 'work']",hello damn christmas thing think decided keep mp doesnt work
0,oh ok wait me there my lect havent finish,"['oh', 'ok', 'wait', 'lect', 'havent', 'finish']",oh ok wait lect havent finish
0,yeah lol luckily i didnt have a starring role like you,"['yeah', 'lol', 'luckily', 'didnt', 'starring', 'role', 'like']",yeah lol luckily didnt starring role like
0,ü neva tell me how i noe im not at home in da aft wat,"['ü', 'neva', 'tell', 'noe', 'im', 'home', 'da', 'aft', 'wat']",ü neva tell noe im home da aft wat
0,i am back good journey let me know if you need any of the receipts shall i tell you like the pendent,"['back', 'good', 'journey', 'let', 'know', 'need', 'receipt', 'shall', 'tell', 'like', 'pendent']",back good journey let know need receipt shall tell like pendent
0,i will lick up every drop are you ready to use your mouth as well,"['lick', 'every', 'drop', 'ready', 'use', 'mouth', 'well']",lick every drop ready use mouth well
